Keyword to Disc,Agric and BioSci,Arts and Humanities,Biochem and Molecular Bio,Business,Chemical engineering,Chemistry,Computer Science,Decision Sciences,Earth and Planetary Sci,Econonics,Energy,Engineering,Environmental Sci,Health Professions,Immunology and Microbio,Materials Science,Mathematics,Medicine,Multidisciplinary,Multidisciplinary,Neuroscience,Nursing,Pharmacology,Physics and Astronomy,Psychology,Social Sciences
Pathway visualization,1,0,2,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
patterning,0,0,9,1,8,8,0,0,0,0,0,6,0,0,1,12,0,2,3,3,1,0,1,2,0,0
Perspective taking,1,8,2,13,0,0,3,3,0,8,0,1,0,2,0,0,2,3,0,0,6,5,0,0,10,18
Perspective-taking,0,7,0,2,0,0,2,1,0,2,0,1,0,0,0,0,2,0,1,1,2,3,1,0,7,12
Point pattern analysis,4,0,1,2,0,0,0,1,1,2,0,0,6,0,2,0,0,1,0,0,0,0,0,0,0,3
Qualitative spatial reasoning,0,3,0,0,0,0,6,3,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,3
Radial arm maze,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,1,0
Scientific visualization,0,2,0,0,0,0,3,1,0,0,0,0,0,1,1,1,2,0,1,1,0,0,0,0,0,1
Software visualization,0,2,0,0,0,0,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spatial abilities,0,2,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,1,0,2,1,0,3,4
Spatial ability,1,4,0,2,0,0,3,1,0,0,0,1,0,2,0,0,0,1,0,0,0,1,0,0,9,5
Spatial analysis,35,18,6,85,3,3,6,47,14,86,16,5,37,2,59,2,4,6,13,13,0,7,3,0,3,42
Spatial and temporal pattern,2,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,1
spatial and temporal patterns,2,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1
Spatial behaviour,1,0,0,5,1,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1
Spatial clustering,3,0,2,3,0,0,2,8,0,0,1,1,1,0,6,0,5,0,1,1,1,0,0,0,1,0
Spatial cognition,2,17,1,4,0,0,5,2,0,0,1,2,0,2,1,0,2,0,6,6,3,3,5,0,7,9
Spatial data analysis,0,0,0,7,0,0,0,7,1,11,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3
Spatial data mining,2,0,0,3,0,0,6,4,1,0,0,3,1,0,0,0,3,0,0,0,0,0,0,0,0,5
Spatial Decision Making,0,0,0,1,0,0,0,2,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Spatial decision support,3,0,0,9,0,0,2,11,1,5,3,0,7,0,1,0,0,0,0,0,0,0,0,0,0,3
Spatial decision support system,3,0,0,7,0,0,1,9,1,5,3,0,5,0,1,0,0,0,0,0,0,0,0,0,0,2
Spatial decision support systems,1,0,0,6,0,0,1,8,0,2,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,2
Spatial dynamic,3,0,1,3,1,1,0,4,1,2,0,0,6,0,7,1,1,1,1,1,0,0,0,0,0,4
